id;parametro;descricao;chave;valor;status;created;modified
1;Credit laranja;generate Cloned;Congelado;haptic;Bloqueado;2023-11-02T06:18:55;2023-11-02T07:19:14
2;pele Metal Lithuanian;intranet PCI;Markets;Cuba Plástico;Bloqueado;2023-11-02T03:19:05;2023-11-01T22:48:28
3;Composite Tala compelling;celeste Specialist;Fully-configurable portal;Marginal;Ativo;2023-11-02T00:45:45;2023-11-02T11:42:54
4;coral Algodão auxiliary;azul Ucrânia reintermediate;Esportes program;Ilhas e Eslovênia;Ativo;2023-11-02T07:25:02;2023-11-02T01:36:25
5;extensible Alagoas;Alameda budgetary;Automotivo;Directives Travessa Croácia;Bloqueado;2023-11-02T16:15:04;2023-11-02T12:02:07
6;override flexibility;fúchsia recontextualize Mouse;ouro;withdrawal índigo Avon;Bloqueado;2023-11-02T08:33:34;2023-11-02T01:11:47
7;applications;Investment;Specialist Brinquedos monetize;New program zero;Inativo;2023-11-01T21:38:23;2023-11-02T12:41:50
8;cross-platform;niches Granito;magenta;approach eco-centric;Inativo;2023-11-01T22:15:08;2023-11-01T21:02:29
9;next-generation Borracha;ROI;Account invoice Implemented;Saudi bandwidth;Inativo;2023-11-01T19:42:32;2023-11-02T17:41:32
10;pixel;task-force;amarelo index;Franc Carro;Bloqueado;2023-11-02T07:58:13;2023-11-01T21:09:11
